DO_ID	DO_name	resource	resource_ID
DOID:0002116	pterygium	ICD10CM	Hd11.0
DOID:0002116	pterygium	ICD10CM	H11.00
DOID:0002116	pterygium	ICD10CM	H11.009
DOID:0002116	pterygium	MESH	D011625
DOID:0060573	von Willebrand's disease 1	ICD10CM	D68.0
DOID:0060573	von Willebrand's disease 1	MESH	D056725
DOID:0060696	hyperekplexia 1	ICD10CM	G25.8
DOID:0060696	hyperekplexia 1	MESH	D000071017
DOID:0060854	autosomal recessive pseudohypoaldosteronism type 1	ICD10CM	N25.8
DOID:0060854	autosomal recessive pseudohypoaldosteronism type 1	MESH	D011546
DOID:0060855	autosomal dominant pseudohypoaldosteronism type 1	ICD10CM	N25.8
DOID:0060855	autosomal dominant pseudohypoaldosteronism type 1	MESH	D011546
DOID:0060857	septooptic dysplasia	ICD10CM	Q04.8
DOID:0060857	septooptic dysplasia	MESH	D025962
DOID:0060877	ichthyosis bullosa of Siemens	ICD10CM	Q80.8
DOID:0060877	ichthyosis bullosa of Siemens	MESH	D053560
DOID:0090121	apparent mineralocorticoid excess	ICD10CM	E26.1
DOID:0090121	apparent mineralocorticoid excess	MESH	C537422
DOID:0090121	apparent mineralocorticoid excess	MESH	D043204
DOID:0111054	von Willebrand's disease 3	ICD10CM	D68.0
DOID:0111054	von Willebrand's disease 3	MESH	D056729
DOID:10021	duodenum cancer	ICD10CM	C17.0
DOID:10021	duodenum cancer	MESH	D004379
DOID:10314	endocarditis	ICD10CM	I33.9
DOID:10314	endocarditis	MESH	D004696
DOID:104	bacterial infectious disease	ICD10CM	A49
DOID:104	bacterial infectious disease	ICD10CM	A49.9
DOID:104	bacterial infectious disease	MESH	D001424
DOID:104	bacterial infectious disease	MESH	D016905
DOID:104	bacterial infectious disease	MESH	D016908
DOID:10456	tonsillitis	ICD10CM	J35.01
DOID:10456	tonsillitis	MESH	D014069
DOID:11103	rickettsialpox	ICD10CM	A79.1
DOID:11103	rickettsialpox	MESH	D012288
DOID:11476	osteoporosis	ICD10CM	M81.0
DOID:11476	osteoporosis	MESH	D010024
DOID:11476	osteoporosis	MESH	D015663
