SNOMEDCT_ID	SNOMEDCT_NAME	ICD10CM_ID	ICD10CM_NAME	MESH_ID
10001005	Bacterial sepsis	P36.9	Bacterial sepsis of newborn, unspecified	D016470
10057001	Chronic lichenoid pityriasis	L41.3	Small plaque parapsoriasis	D017514
10085004	Metatarsalgia	M77.42	Metatarsalgia, left foot	D037061
10085004	Metatarsalgia	M77.41	Metatarsalgia, right foot	D037061
10164001	Parasystole	I44.2	Atrioventricular block, complete	D017574
1023001	Apnea	P28.4	Other apnea of newborn	D001049
102447009	Postmenopausal osteoporosis	M80.00X?	Age-related osteoporosis with current pathological fracture, unspecified site, episode of care unspecified	D015663
102447009	Postmenopausal osteoporosis	N95.8	Other specified menopausal and perimenopausal disorders	D015663
102448004	Drug-induced dyskinesia	G24.02	Drug induced acute dystonia	D004409
102448004	Drug-induced dyskinesia	G24.09	Other drug induced dystonia	D004409
102448004	Drug-induced dyskinesia	T43.505?	Adverse effect of unspecified antipsychotics and neuroleptics, episode of care unspecified	D004409
102448004	Drug-induced dyskinesia	T50.905?	Adverse effect of unspecified drugs, medicaments and biological substances, episode of care unspecified	D004409
102458000	Shaken baby syndrome	T74.4XX?	Shaken infant syndrome, episode of care unspecified	D038642
102458000	Shaken baby syndrome	Y07.9	Unspecified perpetrator of maltreatment and neglect	D038642
102568007	Paresis of lower extremity	M99.05	Segmental and somatic dysfunction of pelvic region	D010291
102568007	Paresis of lower extremity	M62.81	Muscle weakness (generalized)	D010291
102568007	Paresis of lower extremity	M62.81	Muscle weakness (generalized)	D010291
102568007	Paresis of lower extremity	G83.10	Monoplegia of lower limb affecting unspecified side	D010291
102568007	Paresis of lower extremity	H91.90	Unspecified hearing loss, unspecified ear	D010291
102832009	Uninhibited neurogenic bladder	N31.0	Uninhibited neuropathic bladder, not elsewhere classified	D001750
102878001	Recurrent miscarriage	N96	Recurrent pregnancy loss	D000026
103012002	Analgesic overuse headache	T39.8X4?	Poisoning by other nonopioid analgesics and antipyretics, not elsewhere classified, undetermined, episode of care unspecified	D051271
103012002	Analgesic overuse headache	G44.40	Drug-induced headache, not elsewhere classified, not intractable	D051271
103276001	Decreased hearing	H91.90	Unspecified hearing loss, unspecified ear	D034381
103284002	Positional vertigo	H81.10	Benign paroxysmal vertigo, unspecified ear	D014717
103290003	Paroxysmal vertigo	H81.10	Benign paroxysmal vertigo, unspecified ear	D014717
104081000119103	Inverted papilloma	D30.3	Benign neoplasm of bladder	D018308
10437007	Hypothalamic pseudopuberty	E23.3	Hypothalamic dysfunction, not elsewhere classified	D007027
10443009	Localized infection	B99.9	Unspecified infectious disease	D005490
105499002	Convalescence	Z48.89	Encounter for other specified surgical aftercare	D003289
105499002	Convalescence	Z51.89	Encounter for other specified aftercare	D003289
105523009	Gambling	Z72.6	Gambling and betting	D005715
105630005	Disease due to Poxviridae	B97.89	Other viral agents as the cause of diseases classified elsewhere	D011213
105631009	Disease due to Paramyxoviridae	B97.89	Other viral agents as the cause of diseases classified elsewhere	D018184
105632002	Disease due to Bunyaviridae	B33.8	Other specified viral diseases	D002044
105633007	Disease due to Picornaviridae	B97.89	Other viral agents as the cause of diseases classified elsewhere	D010850
105634001	Disease due to Reoviridae	B97.5	Reovirus as the cause of diseases classified elsewhere	D012088
105658002	Disease due to ciliate protozoa	A07.9	Protozoal intestinal disease, unspecified	D016770
10573002	Infection of amniotic cavity	O41.1090	Infection of amniotic sac and membranes, unspecified, unspecified trimester, not applicable or unspecified	D002821
10573002	Infection of amniotic cavity	Z37.9	Outcome of delivery, unspecified	D002821
10573002	Infection of amniotic cavity	B96.89	Other specified bacterial agents as the cause of diseases classified elsewhere	D002821
10588007	Perinatal death	R99	Ill-defined and unknown cause of mortality	D066087
105969002	Disorder of connective tissue	L94.9	Localized connective tissue disorder, unspecified	D003240
10649000	Hyperpituitarism	E22.9	Hyperfunction of pituitary gland, unspecified	D006964
10651001	Temporal lobectomy behavior syndrome	F07.0	Personality change due to known physiological condition	D020232
10706006	Tuberculosis of central nervous system	A17.81	Tuberculoma of brain and spinal cord	D020306
10706006	Tuberculosis of central nervous system	A17.82	Tuberculous meningoencephalitis	D020306
10706006	Tuberculosis of central nervous system	A17.82	Tuberculous meningoencephalitis	D020306
10706006	Tuberculosis of central nervous system	A17.81	Tuberculoma of brain and spinal cord	D020306
10706006	Tuberculosis of central nervous system	A17.9	Tuberculosis of nervous system, unspecified	D020306
10743008	Irritable bowel syndrome	K58.0	Irritable bowel syndrome with diarrhea	D043183
10743008	Irritable bowel syndrome	K58.0	Irritable bowel syndrome with diarrhea	D043183
107931000119105	Dysfunction of posterior tibial tendon	M67.873	Other specified disorders of tendon, right ankle and foot	D037081
107931000119105	Dysfunction of posterior tibial tendon	M67.874	Other specified disorders of tendon, left ankle and foot	D037081
107931000119105	Dysfunction of posterior tibial tendon	M67.874	Other specified disorders of tendon, left ankle and foot	D037081
107931000119105	Dysfunction of posterior tibial tendon	M67.969	Unspecified disorder of synovium and tendon, unspecified lower leg	D037081
107931000119105	Dysfunction of posterior tibial tendon	M67.873	Other specified disorders of tendon, right ankle and foot	D037081
108365000	Infection of skin	P39.4	Neonatal skin infection	D012874
108365000	Infection of skin	L08.9	Local infection of the skin and subcutaneous tissue, unspecified	D012874
108367008	Dislocation of joint	T14.8XX?	Other injury of unspecified body region, episode of care unspecified	D004204
10865002	Eperythrozoonosis	A48.8	Other specified bacterial diseases	D009175
10893003	Tuberculous adenitis	A18.39	Retroperitoneal tuberculosis	D014388
10893003	Tuberculous adenitis	A18.39	Retroperitoneal tuberculosis	D014388
10893003	Tuberculous adenitis	A15.4	Tuberculosis of intrathoracic lymph nodes	D014388
109250009	Chronic bullous dermatosis of childhood	L13.8	Other specified bullous disorders	D062027
109300000	Proliferative myositis	M60.80	Other myositis, unspecified site	D009220
109333005	Osteoradionecrosis	M27.2	Inflammatory conditions of jaws	D010025
109433009	Steatocystoma multiplex	K00.6	Disturbances in tooth eruption	D062685
109495004	Crossbite	M26.24	Reverse articulation	D008310
