SNOMEDCT_ID	SNOMEDCT_NAME	ICD10CM_ID	ICD10CM_NAME	MESH_ID
10000006.0	Radiating chest pain	R07.9	Chest pain, unspecified	D002637
102587001.0	Acute chest pain	R07.9	Chest pain, unspecified	D002637
161972006.0	Central chest pain	R07.9	Chest pain, unspecified	D002637
161974007.0	Parasternal pain	R07.9	Chest pain, unspecified	D002637
285385002.0	Left sided chest pain	R07.9	Chest pain, unspecified	D002637
285389008.0	Upper chest pain	R07.9	Chest pain, unspecified	D002637
34791000119103.0	Chest pain due to pericarditis	R07.9	Chest pain, unspecified	D002637
371030007.0	Squeezing chest pain	R07.9	Chest pain, unspecified	D002637
426396005.0	Cardiac chest pain	R07.9	Chest pain, unspecified	D002637
434011000124101.0	Chronic chest pain	R07.9	Chest pain, unspecified	D002637
59139008.0	Crushing chest pain	R07.9	Chest pain, unspecified	D002637
1092461000119104.0	Sepsis without acute organ dysfunction	A41.9	Sepsis, unspecified organism	D018805
196111003.0	Bacterial hemorrhagic septicemia	A41.9	Sepsis, unspecified organism	D018805
23301003.0	Infection following infusion, injection, transfusion AND/OR vaccination	A41.9	Sepsis, unspecified organism	D018805
233811008.0	Indirect acute lung injury	A41.9	Sepsis, unspecified organism	D018805
233812001.0	Sepsis-associated lung injury	A41.9	Sepsis, unspecified organism	D018805
235657005.0	Sepsis-related gastritis	A41.9	Sepsis, unspecified organism	D018805
236854007.0	Septic splenitis	A41.9	Sepsis, unspecified organism	D018805
238152004.0	Sepsis-related gastrointestinal ulceration	A41.9	Sepsis, unspecified organism	D018805
25042006.0	Tracheostomy sepsis	A41.9	Sepsis, unspecified organism	D018805
276229008.0	Sepsis-associated gastrointestinal hemorrhage	A41.9	Sepsis, unspecified organism	D018805
276741000.0	Sepsis-associated myocardial dysfunction	A41.9	Sepsis, unspecified organism	D018805
277639002.0	Sepsis-associated right ventricular failure	A41.9	Sepsis, unspecified organism	D018805
310643001.0	Infection of intravenous catheter	A41.9	Sepsis, unspecified organism	D018805
312425004.0	Infection of blood and lymphatic system	A41.9	Sepsis, unspecified organism	D018805
367363000.0	Right ventricular failure	A41.9	Sepsis, unspecified organism	D018805
371044001.0	Transient respiratory distress with sepsis	A41.9	Sepsis, unspecified organism	D018805
397843005.0	Sepsis-related gastrointestinal lesions	A41.9	Sepsis, unspecified organism	D018805
429268001.0	Infection of vascular catheter	A41.9	Sepsis, unspecified organism	D018805
431193003.0	Infection of bloodstream	A41.9	Sepsis, unspecified organism	D018805
43641000119102.0	Systemic inflammatory response syndrome without organ dysfunction	A41.9	Sepsis, unspecified organism	D018805
436741000124105.0	Septicemia associated with vascular access catheter	A41.9	Sepsis, unspecified organism	D018805
436751000124107.0	Sepsis associated with internal vascular access	A41.9	Sepsis, unspecified organism	D018805
443980004.0	Neutropenic sepsis	A41.9	Sepsis, unspecified organism	D018805
447931005.0	Clinical sepsis	A41.9	Sepsis, unspecified organism	D018805
51831006.0	Sepsis following infusion, injection, transfusion AND/OR vaccination	A41.9	Sepsis, unspecified organism	D018805
63459005.0	Clinical infection	A41.9	Sepsis, unspecified organism	D018805
65878001.0	Septic bronchitis	A41.9	Sepsis, unspecified organism	D018805
68033004.0	Tracheostomy complication	A41.9	Sepsis, unspecified organism	D018805
700051000.0	Sepsis in asplenic subject	A41.9	Sepsis, unspecified organism	D018805
700053002.0	Sepsis associated with acquired immunodeficiency syndrome	A41.9	Sepsis, unspecified organism	D018805
700055009.0	Sepsis with cutaneous manifestations	A41.9	Sepsis, unspecified organism	D018805
707271004.0	Sepsis due to oral infection	A41.9	Sepsis, unspecified organism	D018805
721104000.0	Sepsis due to urinary tract infection	A41.9	Sepsis, unspecified organism	D018805
722150000.0	Chronic kidney disease due to systemic infection	A41.9	Sepsis, unspecified organism	D018805
722278006.0	Acute kidney injury due to sepsis	A41.9	Sepsis, unspecified organism	D018805
10007009.0	Coffin-Siris syndrome	Q04.8	Other specified congenital malformations of brain	D054082
1.2275031000119106e+16	Congenital cerebral ventriculomegaly	Q04.8	Other specified congenital malformations of brain	D054082
230765001.0	Late secondary abnormalities of the central nervous system	Q04.8	Other specified congenital malformations of brain	D054082
230784003.0	Congenital pseudobulbar palsy	Q04.8	Other specified congenital malformations of brain	D054082
253128003.0	Abnormality of neurogenesis	Q04.8	Other specified congenital malformations of brain	D054082
253135006.0	Defect of telencephalic division	Q04.8	Other specified congenital malformations of brain	D054082
253150002.0	Neuronal heterotopia	Q04.8	Other specified congenital malformations of brain	D054082
253150002.0	Neuronal heterotopia	Q04.8	Other specified congenital malformations of brain	D054082
253150002.0	Neuronal heterotopia	Q04.8	Other specified congenital malformations of brain	D054082
253151003.0	Nodular heterotopia	Q04.8	Other specified congenital malformations of brain	D054082
253152005.0	Laminar heterotopia	Q04.8	Other specified congenital malformations of brain	D054082
253154006.0	Localized cortical dysplasia	Q04.8	Other specified congenital malformations of brain	D054082
253156008.0	Cortical dysplasia with hemimegalencephaly	Q04.8	Other specified congenital malformations of brain	D054082
253157004.0	Early secondary malformation of the central nervous system	Q04.8	Other specified congenital malformations of brain	D054082
253160006.0	Colpocephaly	Q04.8	Other specified congenital malformations of brain	D054082
253167009.0	Microdysgenesis	Q04.8	Other specified congenital malformations of brain	D054082
253176002.0	Gillespie syndrome	Q04.8	Other specified congenital malformations of brain	D054082
253181006.0	Olive dysplasia	Q04.8	Other specified congenital malformations of brain	D054082
253182004.0	Dentate dysplasia	Q04.8	Other specified congenital malformations of brain	D054082
253183009.0	Olivary heterotopia	Q04.8	Other specified congenital malformations of brain	D054082
266673001.0	Ectopic gray matter	Q04.8	Other specified congenital malformations of brain	D054082
266673001.0	Ectopic gray matter	Q04.8	Other specified congenital malformations of brain	D054082
35111000119109.0	Cystic malformation of posterior fossa	Q04.8	Other specified congenital malformations of brain	D054082
38209007.0	Encephalo-ophthalmic dysplasia	Q04.8	Other specified congenital malformations of brain	D054082
430711000124109.0	Subcortical nodular heterotopia	Q04.8	Other specified congenital malformations of brain	D054082
43427008.0	Ectopic glial tissue	Q04.8	Other specified congenital malformations of brain	D054082
54794009.0	Ectopic gray matter in centrum ovale	Q04.8	Other specified congenital malformations of brain	D054082
5645008.0	Nasal glial heterotopia	Q04.8	Other specified congenital malformations of brain	D054082
56531003.0	Ulegyria	Q04.8	Other specified congenital malformations of brain	D054082
69664005.0	Ecchordosis physaliphora	Q04.8	Other specified congenital malformations of brain	D054082
698765007.0	Posterior fossa brain malformation, hemangioma, arterial anomaly, cardiac defect and aortic coarctation, and eye abnormality syndrome	Q04.8	Other specified congenital malformations of brain	D054082
698766008.0	Posterior fossa brain malformation, haemaniogma, arterial anomaly, cardiac defect and aortic coarctation, eye abnormality synodrome and sternal anomaly syndrome	Q04.8	Other specified congenital malformations of brain	D054082
699812002.0	Subependymal nodular heterotopia	Q04.8	Other specified congenital malformations of brain	D054082
702356009.0	PPM-X syndrome	Q04.8	Other specified congenital malformations of brain	D054082
702450004.0	FOXG1 syndrome	Q04.8	Other specified congenital malformations of brain	D054082
716172002.0	Oculocerebral dysplasia syndrome	Q04.8	Other specified congenital malformations of brain	D054082
718556007.0	3C syndrome	Q04.8	Other specified congenital malformations of brain	D054082
719139003.0	Pettigrew syndrome	Q04.8	Other specified congenital malformations of brain	D054082
720518006.0	Athabaskan brainstem dysgenesis syndrome	Q04.8	Other specified congenital malformations of brain	D054082
720632004.0	Central bilateral macrogyria	Q04.8	Other specified congenital malformations of brain	D054082
720635002.0	Cerebro-facio-thoracic dysplasia	Q04.8	Other specified congenital malformations of brain	D054082
720857006.0	Ehlers-Danlos syndrome with periventricular heterotopia	Q04.8	Other specified congenital malformations of brain	D054082
722385008.0	CEDNIK syndrome	Q04.8	Other specified congenital malformations of brain	D054082
722390006.0	Congenital intrauterine infection-like syndrome	Q04.8	Other specified congenital malformations of brain	D054082
722989007.0	Aplasia of optic nerve	Q04.8	Other specified congenital malformations of brain	D054082
722992006.0	Communicating hydrocephalus co-occurrent and due to congenital agenesis of arachnoid villi	Q04.8	Other specified congenital malformations of brain	D054082
74073002.0	Cerebellar hemangioblastomatosis	Q04.8	Other specified congenital malformations of brain	D054082
92904001.0	Congenital abnormal shape of cerebellum	Q04.8	Other specified congenital malformations of brain	D054082
92905000.0	Congenital abnormal shape of cerebrum	Q04.8	Other specified congenital malformations of brain	D054082
1001000119102.0	Pulmonary embolism with pulmonary infarction	I26.99	Other pulmonary embolism without acute cor pulmonale	D011655
133971000119108.0	Chronic pulmonary embolism	I26.99	Other pulmonary embolism without acute cor pulmonale	D011655
194883006.0	Postoperative pulmonary embolus	I26.99	Other pulmonary embolism without acute cor pulmonale	D011655
200299000.0	Obstetric blood-clot pulmonary embolism	I26.99	Other pulmonary embolism without acute cor pulmonale	D011655
200301007.0	Obstetric blood-clot pulmonary embolism - delivered	I26.99	Other pulmonary embolism without acute cor pulmonale	D011655
200309009.0	Obstetric pyemic and septic pulmonary embolism - delivered with postnatal complication	I26.99	Other pulmonary embolism without acute cor pulmonale	D011655
2261009.0	Obstetrical pulmonary fat embolism	I26.99	Other pulmonary embolism without acute cor pulmonale	D011655
233936003.0	Acute massive pulmonary embolism	I26.99	Other pulmonary embolism without acute cor pulmonale	D011655
233937007.0	Subacute massive pulmonary embolism	I26.99	Other pulmonary embolism without acute cor pulmonale	D011655
